# NES Lunar Pool

20 0020
21 !
22 "
23 #
24 $
25 %
26 &
27 '
28 (
29 )
2a *
2b +
2c ,
2d -
2e .
2f /

30 0
31 1
32 2
33 3
34 4
35 5
36 6
37 7
38 8
39 9

3a .
3b 0020
3c -
3d !
3e >
3f ?
40 @

41 A
42 B
43 C
44 D
45 E
46 F
47 G
48 H
49 I
4a J
4b K
4c L
4d M
4e N
4f O
50 P
51 Q
52 R
53 S
54 T
55 U
56 V
57 W
58 X
59 Y
5a Z

5b 1
5c 9
5d 8
5e 5
5f !
60 -

61 A
62 B
63 C
64 D
65 E
66 F
67 G
68 H
69 I
6a J
6b K
6c L
6d M
6e N
6f O
70 P
71 Q
72 R
73 S
74 T
75 U
76 V
77 W
78 X
79 Y
7a Z

# left/right part of "HI."
7b H
7c i

# "TM"
f4 2122
f5 7
f6 ,

